student_id,study_hours_per_week,attendance_percent,previous_grade,assignments_completed_percent,sleep_hours,extracurricular_hours,parental_support_score,final_result
S1408,2.0,100.0,82.8,80.0,7.5,3.8,4,Pass
S1409,5.5,82.5,74.4,50.2,6.4,0.0,3,Pass
S1410,4.6,91.3,46.0,63.6,7.3,8.3,3,Fail
S1411,0.3,70.7,91.7,68.4,5.5,3.6,1,Fail
S1412,8.6,75.2,74.9,67.4,5.7,6.2,4,Pass
S1413,15.7,67.3,64.8,65.4,5.9,1.7,3,Pass
S1414,10.6,38.2,88.9,75.1,4.1,3.5,1,Fail
S1415,13.0,57.3,67.4,65.4,7.6,1.4,2,Pass
S1416,17.4,50.8,64.6,48.7,8.0,7.7,4,Fail
S1417,18.6,44.3,55.1,89.0,5.6,4.9,5,Fail
S1418,11.7,60.1,73.7,88.6,7.0,5.1,3,Pass
S1419,18.8,97.9,72.1,90.2,6.2,8.1,5,Pass
S1420,12.5,77.3,65.2,47.3,6.9,7.5,1,Fail
S1421,7.8,97.4,53.2,80.4,5.7,6.3,2,Pass
S1422,9.0,84.2,66.9,87.2,5.4,0.0,5,Pass
S1423,4.6,89.7,64.0,56.4,7.9,1.9,1,Pass
S1424,7.6,64.5,45.0,75.2,6.4,1.0,4,Fail
S1425,10.2,85.9,42.9,72.9,9.1,6.2,2,Pass
S1426,16.0,88.9,73.5,100.0,6.6,4.5,2,Pass
S1427,20.6,69.4,26.0,100.0,5.3,0.0,3,Pass
S1428,5.1,86.4,68.1,45.0,8.1,3.4,2,Fail
S1429,14.0,86.5,57.8,100.0,7.3,0.0,5,Pass
S1430,6.8,69.8,84.6,58.5,7.4,3.8,5,Pass
S1431,14.4,61.2,57.6,92.7,8.0,0.0,3,Pass
S1432,11.3,60.2,74.9,92.5,5.7,5.6,3,Fail
S1433,2.8,79.3,59.0,57.1,6.3,5.1,1,Pass
S1434,16.6,82.9,66.7,83.9,6.3,9.7,2,Pass
S1435,9.0,66.1,76.1,73.1,4.8,6.5,1,Fail
S1436,9.3,78.4,58.1,85.0,6.2,2.7,5,Pass
S1437,6.7,86.6,79.9,79.2,8.2,6.5,2,Fail
S1438,8.7,87.3,50.1,96.5,6.8,0.0,2,Pass
S1439,14.1,100.0,69.4,76.4,4.8,1.1,5,Pass
S1440,11.1,97.2,78.8,72.0,4.5,5.0,4,Fail
S1441,13.6,63.0,74.9,94.7,8.7,0.0,4,Pass
S1442,13.8,100.0,93.7,85.4,6.4,3.9,1,Pass
S1443,18.6,70.0,53.5,88.2,5.7,0.9,3,Pass
S1444,10.3,93.7,44.3,63.0,6.1,4.3,3,Pass
S1445,4.6,79.0,50.1,56.2,4.6,0.8,2,Fail
S1446,17.3,71.8,74.9,64.8,8.4,5.3,4,Fail
S1447,10.3,50.9,72.5,63.8,6.0,4.1,5,Pass
S1448,17.6,75.4,66.5,89.2,8.3,8.2,2,Pass
S1449,13.9,54.6,48.2,92.6,6.6,4.0,2,Pass
S1450,11.3,92.5,76.5,72.2,8.4,1.7,2,Fail
S1451,13.7,100.0,46.6,100.0,6.8,3.3,5,Fail
S1452,21.8,66.0,82.4,99.6,7.6,0.0,1,Pass
S1453,22.4,82.5,100.0,79.4,7.4,5.2,5,Pass
S1454,12.3,67.1,70.5,60.2,7.3,5.8,4,Pass
S1455,12.8,68.6,73.7,100.0,7.0,11.4,3,Pass
S1456,17.4,89.6,57.6,73.9,6.2,2.1,3,Fail
S1457,7.8,77.4,37.8,77.3,9.0,3.2,5,Pass
S1458,13.7,100.0,56.0,68.9,5.3,2.3,4,Pass
S1459,11.9,70.8,48.6,59.0,6.5,4.6,2,Fail
S1460,13.6,93.0,43.3,48.6,6.5,5.1,1,Fail
S1461,7.8,79.5,90.8,86.4,7.0,3.8,4,Fail
S1462,4.1,89.9,69.1,60.9,5.9,7.3,1,Fail
S1463,1.6,71.3,70.7,100.0,6.9,2.1,1,Fail
S1464,6.4,77.3,60.4,55.5,6.3,7.0,5,Pass
S1465,9.7,76.3,62.4,52.4,4.4,5.6,3,Pass
S1466,10.5,65.5,79.5,84.2,6.5,4.0,4,Pass
S1467,21.7,87.9,64.5,100.0,5.1,3.1,2,Pass
S1468,17.5,87.8,73.0,76.2,4.2,11.3,1,Pass
S1469,7.2,86.9,62.1,85.3,6.7,1.5,1,Pass
S1470,13.7,100.0,59.9,41.8,7.1,4.9,2,Pass
S1471,10.0,99.7,43.9,62.8,7.2,1.7,1,Pass
S1472,10.6,72.4,35.3,55.7,7.2,9.4,3,Fail
S1473,12.9,83.6,61.1,40.9,4.0,6.7,2,Fail
S1474,15.1,68.6,65.8,77.1,4.7,2.0,3,Pass
S1475,10.3,78.4,45.7,34.6,9.1,5.5,3,Fail
S1476,17.3,69.0,64.5,51.2,5.1,4.8,2,Pass
S1477,6.3,100.0,65.8,65.3,7.3,2.5,3,Pass
S1478,12.0,83.5,32.7,60.0,5.6,6.3,1,Fail
S1479,25.0,74.7,51.3,82.1,6.6,5.2,2,Pass
S1480,13.1,95.9,71.1,80.5,5.7,4.6,5,Pass
S1481,19.2,45.4,70.8,91.1,6.5,3.9,5,Fail
S1482,12.5,47.8,47.7,88.5,6.7,5.3,3,Fail
S1483,14.9,89.9,67.4,95.5,5.9,4.7,5,Pass
S1484,11.7,78.9,80.3,75.0,5.1,4.2,3,Pass
S1485,11.1,81.8,76.7,80.5,6.8,2.1,1,Pass
S1486,8.1,58.1,63.6,84.2,4.9,9.1,5,Pass
S1487,14.2,77.7,58.0,77.5,7.1,0.8,3,Pass
S1488,7.7,100.0,55.6,67.9,9.9,5.3,4,Fail
S1489,15.3,90.4,72.0,69.0,8.3,3.0,4,Pass
S1490,17.4,80.5,67.9,60.3,7.4,9.3,2,Fail
S1491,13.8,71.4,74.4,82.6,6.4,1.3,4,Pass
S1492,10.6,72.1,67.0,73.3,4.0,1.8,3,Pass
S1493,14.3,46.1,77.3,63.1,4.8,1.1,2,Pass
S1494,10.5,81.9,66.4,63.1,8.2,5.0,2,Fail
S1495,16.7,90.7,76.8,53.2,5.5,0.0,4,Pass
S1496,2.8,54.4,78.1,92.6,5.6,2.6,2,Fail
S1497,10.3,68.1,52.9,76.4,6.3,0.0,1,Fail
S1498,2.0,60.6,37.9,59.5,5.1,4.7,5,Pass
S1499,4.5,63.5,88.2,89.6,4.9,2.5,2,Pass
S1500,18.8,78.8,68.8,64.9,6.4,0.0,4,Pass
S1501,16.5,46.7,39.3,49.7,6.5,7.3,4,Fail
S1502,8.4,87.2,54.3,93.4,5.5,0.1,5,Pass
S1503,4.5,89.3,76.6,65.3,5.5,6.4,4,Fail
S1504,0.0,74.2,60.8,67.6,7.2,1.9,4,Fail
S1505,9.3,40.8,57.3,75.7,6.2,8.8,5,Fail
S1506,24.1,63.1,86.0,95.6,6.3,6.2,5,Pass
S1507,14.2,96.5,49.3,75.4,7.3,1.0,1,Pass
S1508,9.2,36.3,53.0,53.4,6.3,1.2,4,Fail
S1509,14.3,72.8,68.2,84.8,6.1,5.8,1,Fail
S1510,4.2,60.3,70.9,66.3,7.1,3.2,5,Fail
S1511,10.5,90.1,72.4,100.0,7.4,3.5,1,Pass
S1512,12.5,67.9,78.7,75.0,6.5,7.8,2,Pass
S1513,11.6,84.1,68.0,34.8,6.6,1.8,1,Pass
S1514,16.0,86.5,72.3,81.4,5.5,4.3,4,Pass
S1515,13.7,100.0,61.1,100.0,5.4,6.9,1,Pass
S1516,15.3,75.0,65.9,100.0,7.5,6.4,1,Fail
S1517,8.6,83.6,66.6,100.0,7.1,3.5,3,Pass
S1518,16.5,55.7,68.2,56.6,7.1,3.1,5,Pass
S1519,20.1,95.9,76.6,91.4,6.9,0.0,3,Pass
S1520,7.1,66.6,73.3,62.0,6.6,0.8,3,Fail
S1521,7.6,69.6,65.7,79.0,7.4,5.0,4,Pass
S1522,18.7,77.7,52.9,52.1,7.7,3.6,3,Fail
S1523,11.0,54.6,66.0,63.4,7.7,4.2,2,Pass
S1524,19.0,81.4,64.6,62.8,6.4,7.1,3,Pass
S1525,9.8,92.5,67.9,91.2,8.3,0.4,1,Pass
S1526,19.3,82.4,98.1,89.4,6.8,3.3,2,Pass
S1527,12.7,54.2,57.1,80.0,7.3,4.6,4,Fail
S1528,13.3,76.1,71.3,50.7,6.9,1.9,2,Pass
S1529,19.8,89.1,81.0,69.4,6.8,8.3,1,Pass
S1530,10.2,49.8,66.5,61.6,5.5,6.7,1,Fail
S1531,7.3,61.9,100.0,90.7,7.4,4.9,5,Fail
S1532,9.8,91.1,59.3,96.2,10.0,9.4,2,Pass
S1533,14.3,82.1,69.9,94.0,6.0,0.0,1,Pass
S1534,4.2,84.2,53.0,61.4,6.6,4.0,4,Fail
S1535,15.2,100.0,59.7,25.7,5.9,5.1,3,Fail
S1536,9.3,85.0,68.7,43.2,5.9,1.3,3,Pass
S1537,17.7,87.9,77.7,100.0,6.5,4.9,5,Pass
S1538,0.0,100.0,69.8,67.8,5.6,0.7,2,Pass
S1539,8.1,74.8,83.9,61.5,5.9,6.1,3,Pass
S1540,3.6,66.0,63.6,100.0,4.4,7.2,4,Fail
S1541,7.9,84.4,60.0,97.8,6.5,4.8,4,Pass
S1542,13.2,84.6,100.0,75.4,4.3,0.0,2,Pass
S1543,11.1,70.1,70.9,69.7,7.3,1.1,4,Fail
S1544,10.7,62.5,54.2,72.6,10.0,5.7,4,Pass
S1545,11.2,100.0,54.6,79.1,6.0,4.1,1,Pass
S1546,13.0,82.9,50.9,100.0,4.3,0.0,1,Pass
S1547,7.0,67.0,79.0,82.6,7.7,7.7,4,Pass
S1548,15.5,91.7,59.5,88.1,5.6,4.4,1,Pass
S1549,15.3,76.4,66.9,96.0,8.2,1.5,5,Pass
S1550,13.9,74.2,64.0,53.9,6.1,7.0,1,Pass
S1551,14.8,86.4,76.0,88.6,5.7,2.0,5,Fail
S1552,13.5,58.6,52.3,69.7,6.3,1.9,4,Fail
S1553,22.2,83.3,48.9,29.7,7.5,5.1,3,Fail
S1554,11.6,100.0,68.4,36.7,6.2,9.3,2,Pass
S1555,10.5,85.0,74.0,56.7,5.9,8.9,2,Pass
S1556,8.2,72.4,70.0,84.6,6.2,5.1,4,Pass
S1557,6.8,70.4,52.9,77.0,4.8,5.4,4,Pass
S1558,5.8,71.8,75.2,78.3,7.0,6.4,2,Pass
S1559,7.6,74.2,53.8,100.0,4.2,0.2,3,Fail
S1560,11.6,72.3,57.2,52.2,5.9,5.9,5,Pass
S1561,13.7,91.7,50.8,74.5,7.5,1.8,2,Fail
S1562,12.3,52.0,84.5,80.5,6.9,5.0,4,Pass
S1563,8.2,90.9,74.5,61.7,7.3,3.3,1,Pass
S1564,16.5,72.3,74.1,75.5,6.4,5.5,5,Fail
S1565,15.7,83.7,83.7,46.2,8.0,4.4,1,Pass
S1566,11.2,61.1,100.0,100.0,7.7,0.0,2,Pass
S1567,8.7,97.9,39.4,62.7,7.1,4.5,3,Fail
S1568,14.7,96.7,53.9,100.0,7.7,5.9,2,Pass
S1569,12.9,92.4,55.8,74.4,7.5,5.3,1,Pass
S1570,4.8,55.3,52.2,93.5,5.9,3.7,4,Fail
S1571,11.7,90.4,48.8,74.0,4.8,8.9,1,Fail
S1572,13.3,84.1,60.5,74.4,7.0,4.9,5,Pass
S1573,7.5,53.9,46.8,64.5,7.2,5.3,1,Fail
S1574,12.9,77.6,70.0,77.1,7.9,7.1,2,Pass
S1575,4.7,83.5,65.8,80.7,5.3,5.1,5,Pass
S1576,18.7,86.3,72.2,60.9,6.5,1.3,1,Pass
S1577,18.2,80.7,72.6,72.7,7.1,0.0,1,Pass
S1578,10.7,82.4,74.0,64.0,6.5,2.6,4,Pass
S1579,13.8,100.0,59.4,100.0,4.0,6.3,1,Pass
S1580,0.0,96.4,96.8,73.4,7.0,2.9,5,Pass
S1581,6.2,35.0,68.5,100.0,6.5,6.4,3,Fail
S1582,10.5,73.2,37.1,71.5,5.3,4.4,5,Fail
S1583,6.6,75.5,50.0,79.7,6.5,7.9,2,Pass
S1584,15.6,51.7,38.9,51.2,8.9,3.1,1,Fail
S1585,22.0,79.4,65.3,67.0,4.9,5.4,5,Pass
S1586,6.1,96.7,63.2,78.8,6.5,5.5,4,Fail
S1587,7.8,61.7,58.0,100.0,6.6,8.5,5,Fail
S1588,13.2,83.0,95.2,79.0,8.8,0.0,2,Pass
S1589,20.1,64.3,73.2,99.9,5.9,2.6,3,Pass
S1590,5.9,67.9,75.9,86.5,5.9,6.5,3,Pass
S1591,13.2,100.0,51.0,100.0,8.5,8.6,3,Pass
S1592,21.1,69.9,50.0,73.9,6.0,4.7,2,Fail
S1593,3.7,84.9,65.6,100.0,7.4,3.1,2,Fail
S1594,5.6,49.9,67.6,66.3,4.6,6.3,4,Pass
S1595,9.9,100.0,37.2,61.2,6.3,6.6,1,Pass
S1596,9.4,87.0,62.3,53.2,4.3,2.9,2,Pass
S1597,16.1,75.3,65.2,100.0,5.1,5.0,2,Pass
S1598,13.2,86.6,61.8,89.8,7.6,7.5,1,Pass
S1599,3.1,56.9,52.8,69.0,6.4,9.7,1,Fail
S1600,14.6,95.7,56.9,97.5,6.1,6.2,3,Pass
S1601,9.1,73.1,62.3,87.4,5.5,4.1,1,Pass
S1602,18.4,74.9,66.4,100.0,6.2,3.8,2,Pass
S1603,8.9,70.6,74.1,47.1,6.9,5.7,3,Fail
S1604,8.8,69.3,81.2,70.2,7.8,3.7,5,Pass
S1605,14.7,88.4,60.6,66.7,3.1,4.6,1,Fail
S1606,15.8,81.8,58.2,39.5,5.4,0.8,3,Fail
S1607,14.2,87.8,71.6,94.1,6.7,7.9,1,Pass
S1608,3.6,77.9,74.2,70.1,6.4,0.6,3,Pass
S1609,14.7,85.7,58.5,88.3,7.0,2.7,3,Pass
S1610,6.8,71.7,76.9,100.0,6.5,4.3,4,Pass
S1611,13.2,100.0,79.7,68.6,6.1,10.0,3,Pass
S1612,4.9,54.5,84.4,67.4,5.8,2.7,5,Fail
S1613,14.2,96.9,91.7,77.1,6.2,2.0,1,Pass
S1614,8.0,98.5,52.0,92.8,8.0,2.3,1,Fail
S1615,5.6,65.2,65.2,64.8,5.5,9.0,1,Pass
S1616,15.6,100.0,65.2,63.6,6.4,0.0,2,Pass
S1617,13.2,92.9,63.5,94.0,6.7,1.0,1,Pass
S1618,8.9,92.6,55.3,81.8,8.5,12.2,1,Pass
S1619,19.3,78.4,42.7,38.2,6.1,5.8,2,Pass
S1620,9.8,74.7,66.4,52.9,7.7,0.7,5,Fail
S1621,12.2,74.9,53.5,100.0,8.1,3.9,5,Pass
S1622,13.3,83.9,66.3,82.2,6.4,4.2,1,Pass
S1623,8.9,99.0,53.1,61.3,6.2,6.5,5,Pass
S1624,14.4,80.7,48.5,71.9,6.1,9.5,2,Pass
S1625,9.3,64.3,68.5,75.2,6.2,5.2,3,Fail
S1626,9.9,90.4,67.3,88.2,7.6,2.4,2,Fail
S1627,18.8,91.8,73.7,50.6,6.8,6.4,3,Pass
S1628,6.8,87.8,97.8,59.9,6.8,1.9,4,Pass
S1629,0.0,89.2,69.2,79.9,5.0,0.9,4,Fail
S1630,20.1,73.9,72.3,73.2,5.2,0.0,3,Pass
S1631,24.7,64.1,48.8,85.3,9.3,0.0,4,Pass
S1632,10.0,65.0,45.7,52.9,6.3,1.3,4,Pass
S1633,2.3,53.5,88.7,81.4,5.5,0.5,1,Fail
S1634,10.4,81.6,51.1,94.6,8.4,4.9,2,Fail
S1635,10.6,76.7,49.3,83.8,6.9,0.4,1,Fail
S1636,11.1,71.4,64.4,77.5,7.3,0.0,4,Pass
S1637,6.4,33.7,63.6,73.3,6.3,0.9,3,Fail
S1638,14.9,59.3,51.5,60.0,6.1,2.6,4,Fail
S1639,14.6,94.8,60.4,73.7,6.3,2.2,3,Pass
S1640,4.5,68.0,83.4,97.7,4.7,8.6,2,Fail
S1641,15.5,83.4,52.9,72.9,6.4,2.2,1,Pass
S1642,22.3,57.1,44.1,59.0,6.5,6.6,5,Fail
S1643,12.9,99.6,79.1,66.1,8.9,3.9,2,Pass
S1644,10.3,75.8,72.4,78.6,6.6,3.9,1,Fail
S1645,11.3,82.4,55.7,68.3,3.5,1.5,2,Fail
S1646,15.1,100.0,41.3,83.7,6.4,3.8,5,Pass
S1647,3.3,100.0,53.8,84.4,10.0,1.7,2,Pass
S1648,12.8,73.4,64.2,91.0,7.6,4.5,5,Pass
S1649,10.0,69.1,82.5,100.0,6.5,3.3,3,Pass
S1650,21.2,73.1,49.5,92.9,7.3,1.2,5,Pass
S1651,11.1,85.6,63.7,58.2,5.5,7.0,4,Pass
S1652,20.3,76.4,75.1,58.7,4.7,5.3,1,Pass
S1653,6.5,72.1,29.3,73.6,6.0,2.7,3,Fail
S1654,14.9,100.0,80.5,66.9,6.6,4.4,3,Pass
S1655,13.6,76.3,47.3,54.5,4.1,3.7,2,Pass
S1656,7.7,100.0,70.0,67.0,5.0,1.4,3,Pass
S1657,12.9,79.4,68.7,66.5,6.5,4.2,1,Pass
S1658,18.1,100.0,81.3,62.9,6.0,2.1,4,Pass
S1659,10.4,83.4,73.3,69.3,7.0,1.2,5,Pass
S1660,3.5,92.4,29.3,96.2,4.9,0.0,1,Fail
S1661,11.9,67.1,53.2,78.6,7.4,2.9,3,Pass
S1662,7.5,65.2,67.1,100.0,5.0,5.7,4,Pass
S1663,10.3,84.9,62.1,78.1,8.6,1.9,1,Pass
S1664,11.6,92.8,72.2,69.8,4.3,11.6,2,Pass
S1665,3.5,78.6,76.8,75.1,5.1,6.7,2,Pass
S1666,3.9,58.7,74.1,79.6,7.0,7.9,1,Pass
S1667,14.4,57.6,61.8,82.8,8.7,6.4,5,Fail
S1668,9.4,56.6,37.3,100.0,6.9,9.6,3,Fail
S1669,0.0,51.5,58.2,59.8,7.2,1.6,4,Fail
S1670,15.9,79.6,71.2,90.5,6.5,0.0,3,Fail
S1671,13.4,94.9,48.6,78.7,5.2,2.7,5,Pass
S1672,8.4,77.8,74.5,46.7,5.9,5.7,5,Pass
S1673,5.4,44.1,78.6,88.9,4.9,4.5,4,Fail
S1674,16.2,75.1,66.9,97.8,4.8,4.8,2,Pass
S1675,13.7,75.6,19.0,59.6,7.0,8.0,3,Fail
S1676,23.9,100.0,45.8,74.8,5.0,5.1,5,Pass
S1677,14.1,56.1,93.3,43.9,6.9,6.4,3,Pass
S1678,13.9,72.1,56.8,52.3,4.8,1.2,3,Fail
S1679,11.2,100.0,35.2,93.9,6.9,0.7,1,Fail
S1680,16.1,84.7,83.5,66.6,5.9,8.8,5,Pass
S1681,15.1,86.4,65.2,55.0,8.3,4.3,4,Pass
S1682,18.3,79.7,81.6,79.1,6.9,2.1,2,Pass
S1683,9.4,82.9,69.2,65.6,8.1,2.1,3,Pass
S1684,9.8,89.7,71.9,66.5,5.5,2.1,3,Pass
S1685,9.6,65.9,70.4,88.3,6.6,1.9,1,Pass
S1686,16.0,91.2,75.5,54.1,5.2,0.2,5,Pass
S1687,19.5,57.4,99.2,58.7,6.0,0.0,5,Pass
S1688,9.7,82.9,79.6,77.8,6.2,3.4,5,Pass
S1689,9.9,80.7,41.3,92.4,5.6,2.2,2,Pass
S1690,13.6,68.8,71.7,97.3,4.9,7.3,2,Pass
S1691,10.8,77.7,82.1,63.0,4.7,4.9,1,Pass
S1692,16.8,68.7,83.0,91.9,3.5,4.8,4,Pass
S1693,0.7,61.9,58.6,60.9,5.1,1.8,2,Fail
S1694,7.9,72.7,82.5,100.0,7.3,3.6,5,Pass
S1695,8.1,61.4,78.9,54.6,4.4,5.1,5,Pass
S1696,0.4,82.8,100.0,98.9,4.7,6.1,1,Pass
S1697,7.2,60.7,53.7,63.2,8.8,3.7,5,Pass
S1698,7.4,88.7,57.4,100.0,5.7,7.2,1,Pass
S1699,11.0,60.3,60.4,85.6,6.9,4.0,3,Fail
S1700,17.6,69.5,57.6,56.7,7.3,6.4,3,Fail
S1701,10.8,68.6,51.6,65.6,7.4,2.5,5,Pass
S1702,6.8,97.9,23.6,89.1,4.5,0.0,4,Pass
S1703,11.7,83.0,58.5,93.9,6.2,4.8,5,Pass
S1704,17.2,74.8,70.5,73.7,4.4,6.2,3,Pass
S1705,7.1,85.5,57.6,75.8,9.7,5.7,5,Pass
S1706,7.4,46.4,94.0,88.7,4.4,5.3,5,Fail
S1707,14.8,77.4,65.2,77.4,5.1,3.0,5,Pass
S1708,10.9,100.0,84.4,51.7,5.1,1.6,3,Pass
S1709,15.2,80.0,68.9,60.4,4.6,5.7,2,Pass
S1710,11.9,79.0,77.4,79.2,8.3,5.3,5,Pass
S1711,15.5,86.2,69.2,96.9,9.6,2.3,4,Pass
S1712,6.8,91.4,85.5,100.0,5.9,7.3,5,Pass
S1713,11.9,48.0,65.8,89.0,4.8,1.4,3,Pass
S1714,10.9,52.8,72.4,80.2,3.6,2.2,5,Pass
S1715,5.9,81.2,70.5,88.5,6.2,8.9,4,Pass
S1716,4.2,67.3,60.7,63.0,6.1,6.6,4,Fail
S1717,15.4,97.7,71.1,72.2,5.7,2.9,1,Pass
S1718,10.2,73.3,98.5,60.2,6.8,4.9,3,Pass
S1719,6.9,49.0,60.9,52.5,7.0,4.5,4,Fail
S1720,11.5,59.0,71.3,81.0,6.9,0.0,4,Pass
S1721,17.6,36.8,83.9,78.3,6.1,1.3,5,Pass
S1722,0.6,74.5,82.1,87.4,5.1,3.8,2,Pass
S1723,4.5,75.2,65.2,84.8,7.4,2.9,2,Pass
S1724,7.4,71.6,29.2,79.4,6.5,4.7,5,Fail
S1725,19.3,94.2,72.8,85.0,7.7,7.4,5,Pass
S1726,13.4,96.0,31.7,74.2,7.5,3.0,1,Pass
S1727,15.8,75.4,87.0,82.4,4.7,0.8,2,Pass
S1728,6.3,46.0,67.5,61.9,4.6,5.0,5,Fail
S1729,6.4,87.3,80.0,81.7,6.5,3.0,1,Fail
S1730,14.2,86.3,51.5,87.0,5.1,3.5,4,Fail
S1731,12.3,82.6,41.7,62.9,7.5,3.1,1,Fail
S1732,14.7,92.7,68.9,75.9,7.0,10.7,1,Pass
S1733,11.1,60.5,64.5,63.8,7.9,0.0,4,Pass
S1734,13.4,100.0,57.6,65.5,7.0,2.8,4,Pass
S1735,12.8,63.6,66.3,54.8,6.8,4.0,3,Pass
S1736,15.9,89.2,100.0,97.8,8.1,1.7,5,Pass
S1737,16.0,52.7,77.5,94.2,7.1,6.7,2,Pass
S1738,3.9,64.0,80.7,84.7,6.6,6.4,3,Fail
S1739,0.8,100.0,77.7,100.0,8.4,3.9,4,Fail
S1740,17.0,74.1,87.2,71.6,6.6,3.2,4,Pass
S1741,17.9,90.6,62.1,100.0,6.1,3.7,2,Pass
S1742,6.9,81.6,34.2,70.9,5.4,3.7,4,Pass
S1743,2.7,76.4,62.2,79.6,7.4,3.8,3,Pass
S1744,12.5,98.5,77.2,67.8,8.1,3.4,3,Pass
S1745,16.7,74.5,50.5,81.7,6.4,4.8,5,Fail
S1746,21.0,51.3,62.4,90.0,8.2,6.3,2,Fail
S1747,14.6,66.0,54.6,72.9,3.9,0.3,4,Pass
S1748,10.1,86.3,87.5,100.0,6.4,0.8,5,Fail
S1749,7.5,83.9,76.2,79.3,6.4,0.0,4,Pass
S1750,12.1,54.5,74.8,79.9,5.6,6.6,5,Fail
S1751,10.5,67.1,74.3,58.6,9.6,4.8,3,Pass
S1752,6.9,69.3,64.4,82.5,6.4,5.5,2,Fail
S1753,22.2,72.5,68.0,72.6,6.0,0.0,5,Pass
S1754,20.9,57.4,47.2,64.1,6.5,9.4,4,Pass
S1755,17.7,68.6,32.2,61.0,3.9,2.2,2,Fail
S1756,7.4,67.1,67.3,100.0,5.5,4.5,2,Pass
S1757,16.3,89.6,69.9,70.3,7.8,6.6,2,Fail
S1758,15.2,90.1,83.1,48.8,5.7,1.0,5,Pass
S1759,14.2,75.8,88.6,62.4,5.4,2.4,1,Pass
S1760,18.2,72.1,88.5,74.1,8.2,4.5,4,Pass
S1761,15.2,80.1,50.0,84.8,8.2,12.6,3,Fail
S1762,15.7,65.8,59.7,85.0,7.2,4.9,1,Pass
S1763,15.2,60.8,72.2,87.2,5.9,8.8,4,Fail
S1764,13.7,63.9,100.0,63.4,6.2,7.6,4,Pass
S1765,3.1,68.5,87.2,81.1,5.5,5.1,4,Fail
S1766,12.4,60.5,81.8,59.2,5.2,1.0,3,Fail
S1767,9.2,80.4,59.2,63.8,5.1,7.2,2,Pass
S1768,5.6,88.9,51.8,58.5,5.7,0.0,1,Fail
S1769,20.4,54.2,76.8,53.6,5.2,8.8,1,Pass
S1770,20.6,78.4,48.5,94.2,4.5,4.6,2,Pass
S1771,18.8,74.7,61.4,87.4,6.8,0.0,4,Pass
S1772,13.3,83.1,63.3,92.6,6.8,3.0,1,Pass
S1773,18.8,77.8,88.9,75.7,8.7,6.0,5,Pass
S1774,12.1,56.2,59.7,89.0,5.6,3.3,3,Pass
S1775,13.0,59.1,28.4,43.3,6.9,6.1,2,Fail
S1776,6.5,78.4,72.6,90.5,6.9,1.4,5,Pass
S1777,14.0,93.4,54.5,78.2,6.2,0.1,1,Pass
S1778,12.3,44.8,65.6,86.3,7.5,3.8,5,Fail
S1779,5.5,83.2,63.7,81.8,7.5,4.1,2,Pass
S1780,11.7,95.8,60.9,57.2,6.9,3.0,2,Pass
S1781,11.6,75.7,76.9,48.0,6.2,7.7,3,Fail
S1782,21.0,86.3,42.0,62.2,6.0,1.4,5,Pass
S1783,16.5,67.5,57.2,85.2,4.7,4.9,2,Fail
S1784,12.1,76.2,75.3,87.4,5.5,4.2,5,Fail
S1785,13.2,53.7,55.8,50.4,5.7,0.0,2,Fail
S1786,12.2,42.8,40.9,57.3,5.0,0.0,2,Fail
S1787,11.0,92.1,75.0,62.0,7.1,4.0,4,Pass
S1788,6.6,63.2,81.8,68.6,8.1,9.9,4,Pass
S1789,11.2,71.2,64.3,50.5,6.5,5.7,2,Fail
S1790,8.3,57.2,35.6,49.4,6.9,0.0,1,Fail
S1791,5.7,56.9,75.6,60.2,5.2,0.0,2,Fail
S1792,14.6,75.4,40.1,76.6,6.1,6.2,3,Fail
S1793,14.0,67.1,69.6,53.7,5.6,3.7,1,Pass
S1794,3.1,83.7,51.7,72.9,7.3,7.4,1,Fail
S1795,11.4,84.8,47.6,94.1,5.6,1.4,5,Fail
S1796,17.0,82.8,58.4,51.6,6.5,5.1,1,Pass
S1797,17.3,81.6,62.3,71.3,6.2,6.5,3,Pass
S1798,17.1,100.0,55.3,93.4,5.7,2.7,4,Pass
S1799,12.2,62.0,73.8,67.5,4.9,2.7,2,Fail
